"idBank";"Dernière mise à jour";"Autres regroupements";"IDBANK pour sdmx";"Puissance";"Nature";"Périodicité";"Unité";"Activité";"Correction";"Indicateur";"Zone géographique";"﻿Base de l'indice"
"010767848";"05/04/2024 08:45";"Sans objet";"BDM_EUR";"0";"Indice";"Mensuelle";"sans objet";"22.11 - Fabrication et rechapage de pneumatiques";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"Indice de la production industrielle";"France métropolitaine";"2021"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
